Can I Register to Vote?,Statute,Name,Description
NO, 18.2-1(6),"Aggravated murder, law enforcement officer","The willful, deliberate and premediated killing of a law enforcement officer"
NO, 18.2-103.1,Organized Retail Theft,Conspire retail theft aggregate > $5000 over 90 days
NO,18.2-104,Larceny,Larceny etc. -third or subsequent conviction
NO,18.2-108.01(A),Larceny,Larceny $500 or more with intent to sell or distribute
NO,18.2-108.01(A),Larceny,Larceny $1000 or more with intent to sell or distribute
NO,18.2-108.01(A),Larceny,Larceny $200 or more with intent to sell or distribute
NO,18.2-146,Break/remove catalytic converter,"Catalytic converter, damage vehicle, aircraft or boat"
NO,18.2-151,Open/Carry away fuel pump,Open or carry away gasoline pumps
NO, 18.2-31(1),"Aggravated murder, in the commission of abduction","Willful, deliberate, and premediated killing of any person in the commission of abduction"
NO,18.2-31(1),"Capital murder, in the commission of abduction","The willful, deliberate, and premediated killing of any person in the commission of abduction"
NO,18.2-31(1),"Accessory to capital murder, in the commission of abduction",Accessory before the fact to capital murder in the commission of abduction
NO,18.2-31(1),"Accessory to aggravated murder, in the commission of abduction",Accessory before the fact to aggravated murder in the commission of abduction
NO,18.2-31(10),"Aggravated murder, engaged ina continuing criminal enterprise","The willful, deliberate and premediated killing of any person by another pursuant to the direction or order of one who is engaged in a continuing criminal enterprise"
NO,18.2-31(10),"Capital murder, engaged in a continuing criminal enterprise","The willful, deliberate and premediated killing of any person by another pursuant to the direction or order of one who is engaged in a continuing criminal enterprise"
NO,18.2-31(10),First degree murder,Accessory before the fact to aggravated murder committed pursuant to a criminal drug enterprise
NO,18.2-31(10),First degree murder,Accessory before the fact to capital murder committed pursuant to a criminal drug enterprise
NO,18.2-31(10),"Capital murder, pregnant victim","The willful, deliberate and premediated killing of a pregnant woman"
NO,18.2-31(10),"Accessory to capital murder, pregnant victim",Accessory before the fact to capital murder of a pregnant victim
NO,18.2-31(11),"Capital murder, pregnant victim","The willful, deliberate and premediated killing of a pregnant woman"
NO,18.2-31(11),"Accessory to capital murder, pregnant victim",Accessory before the fact to capital murder of a pregnant victim
NO,18.2-31(11),"Aggravated murder, pregnant victim","The willful, deliberate and premediated killing of a pregnant woman"
NO,18.2-31(11),"Accessory to aggravated murder, pregnant victim",Accessory before the fact to aggravated murder of a pregnant victim
NO,18.2-31(12),"Capital murder, killing person under age 14","The willful, deliberate and premediated killing of a person under the age of fourteen by a personage twenty-one or older"
NO,18.2-31(12),"Aggravated murder, killing person under age 14","The willful, deliberate and premediated killing of a person under the age of 14 by a person age 21 or older"
NO,18.2-31(12),"Accessory to capital murder, killing person under age 14",Accessory before the fact to capital murder where a person 21 years or older killed a person under the age of 14
NO,18.2-31(12),"Accessory to aggravated murder, killing person under age 14",Accessory before the fact to aggravated murder where a person 21 years or older killed a person under the age of 14
NO,18.2-31(13),"Capital murder, in the commission of terroristic act","The willful, deliberate and premediated killing of any person by another in the commission of or attempted commission of an act of terrorism"
NO,18.2-31(13),"Aggravated murder, in the commission of terroristic act","The willful, deliberate and premediated killing of any person by another in the commission of or attempted commission of an act of terrorism"
NO,18.2-31(13),First degree murder,Accessory before the fact to aggravated murder where the killing was in the commission of a terroristic act
NO,18.2-31(13),First degree murder,Accessory before the fact to capital murder where the killing was in the commission of a terroristic act
NO,18.2-31(13),First degree murder,Accessory before the fact to capital murder where the killing was in the commission of a terroristic act
NO,18.2-31(14),"Capital murder, witness","The willful, deliberate and premeditated killing of any witness in a criminal case for the purpose of interfering with the person's duties in such case"
NO,18.2-31(14),"Aggravated murder, judge","The willful, deliberate and premeditated killing of a judge to interfere with his official duties as a judge"
NO,18.2-31(14),"Capital murder, judge","The willful, deliberate and premeditated killing of a judge to interfere with his official duties as a judge"
NO,18.2-31(14),"Accessory to capital murder, witness",Accessory before the fact to capital murder of a witness
NO,18.2-31(14),"Accessory to capital murder, judge",Accessory before the fact to capital murder of a judge
NO,18.2-31(14),"Accessory to aggravated murder, judge",Accessory before the fact to aggravated murder of a judge
